post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47635033,Show HN: Travel Hacking Toolkit – Points search and trip planning with AI,entertainment,95,39,borski,2026-04-06 12:58:41,0.40625,False
47656678,"Musk asks SpaceX IPO banks to buy Grok AI subscriptions, NYT reports",science,7,0,1vuio0pswjnm7,2026-04-06 12:58:45,0.0,False
47604155,SpaceX files to go public,science,398,575,nutjob2,2026-04-06 12:58:51,1.4411027568922306,True
47625311,Bun: cgroup-aware AvailableParallelism / HardwareConcurrency on Linux,worldnews,45,24,tosh,2026-04-06 12:58:52,0.5217391304347826,False
47644934,"Delve claiming that whistleblower was part of a ""targeted cyberattack""",worldnews,6,2,rrvsh,2026-04-06 12:59:03,0.2857142857142857,False
47615756,Renewables reached nearly 50% of global electricity capacity last year,worldnews,296,148,Growtika,2026-04-06 12:59:06,0.4983164983164983,True
47651019,PS3 emulator makes Cell CPU breakthrough that improves performance in all games,sports,8,0,gloxkiqcza,2026-04-06 12:59:35,0.0,False
47648102,Every dependency you add is a supply chain attack waiting to happen,worldnews,8,0,birdculture,2026-04-06 12:59:49,0.0,False
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,98,42,Bender,2026-04-06 12:59:58,0.42424242424242425,False
47651502,The Therac-25 software radiation disaster,worldnews,7,2,bithavoc,2026-04-06 13:00:20,0.25,False
47624317,New Rowhammer attacks give complete control of machines running Nvidia GPUs,worldnews,132,10,01-_-,2026-04-06 13:00:22,0.07518796992481203,False
47650022,Banray.eu: Raising awareness of the terrible idea that is always-on AI glasses,worldnews,35,18,ChrisArchitect,2026-04-06 13:00:36,0.5,False
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,worldnews,36,7,j0rg3,2026-04-06 13:00:42,0.1891891891891892,False
47642552,Nandgame – Build a Computer from Scratch,sports,6,0,Vortigaunt,2026-04-06 13:00:48,0.0,False
47616157,Software never had a soul,worldnews,20,17,firloop,2026-04-06 13:00:50,0.8095238095238095,False
47645926,The Spaceballs sequel will be released in April next year,science,8,1,WaitWaitWha,2026-04-06 13:00:56,0.1111111111111111,False
47618221,The Australian government has announced gambling advertising reforms,worldnews,133,101,gostsamo,2026-04-06 13:00:58,0.753731343283582,False
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),science,40,6,ruevs,2026-04-06 13:01:00,0.14634146341463414,False
47654226,Trump proposes steep cut to NASA budget as astronauts head for the Moon,science,8,0,rbanffy,2026-04-06 13:01:05,0.0,False
47645240,SpaceX Pushes Back Crucial Starship Test Launch,science,14,10,bookmtn,2026-04-06 13:01:26,0.6666666666666666,False
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-06 13:01:41,0.5384615384615384,False
47633734,ENiGMA½ BBS Software,worldnews,10,1,NuSkooler,2026-04-06 13:02:11,0.09090909090909091,False
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-06 13:02:22,0.0,False
47645696,Towards end-to-end automation of AI research,worldnews,6,0,hardmaru,2026-04-06 13:02:50,0.0,False
47602986,Show HN: Real-time dashboard for Claude Code agent teams,sports,76,28,simple10,2026-04-06 13:02:51,0.36363636363636365,False
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-06 13:04:29,1.3793103448275863,False
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-06 13:04:47,0.17142857142857143,False
